INPUT,COMMON,SCIENTIFIC,QAQC,ACP,ACP_EST,BLSC,BLSC_EST,CRD,CRD_EST,WBPHS,WBPHS_EST,YKD,YKD_EST
UKIE,King Eider,Somateria spectabilis,KIEI,KIEI,1,KIEI,0,KIEI,0,KIEI,1,KIEI,1
UKIH,King Eider,Somateria spectabilis,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
LAAL,Laysan Albatross,Phoebastria immutabilis,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
LALO,Lapland Longspur,Calcarius lapponicus,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
LEAU,Least Auklet,Aethia pusilla,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
LESP,Leach's Storm-Petrel,Oceanodroma leucorhoa,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
LOON,Unidentified Loon,Gavia spp.,UNLO,UNLO,0,UNLO,0,UNLO,0,UNLO,1,UNLO,0
LOPA,Unidentified Loon,Gavia spp.,PALO,PALO,1,PALO,0,PALO,0,PALO,1,PALO,1
UNLO,Unidentified Loon,Gavia spp.,UNLO,UNLO,0,UNLO,0,UNLO,0,UNLO,1,UNLO,0
LTDU,Long-tailed Duck,Clangula hyemalis,LTDU,LTDU,1,XXXX,0,LTDU,0,LTDU,1,LTDU,1
LTDU1,Long-tailed Duck,Clangula hyemalis,LTDU,XXXX,0,LTDU,1,XXXX,0,XXXX,0,XXXX,0
LTDUF1,Long-tailed Duck,Clangula hyemalis,LTDU,XXXX,0,LTDU,1,XXXX,0,XXXX,0,XXXX,0
LTDU2,Long-tailed Duck,Clangula hyemalis,LTDU,XXXX,0,LTDU,1,XXXX,0,XXXX,0,XXXX,0
LTDUF2,Long-tailed Duck,Clangula hyemalis,LTDU,XXXX,0,LTDU,1,XXXX,0,XXXX,0,XXXX,0
LTDU3,Long-tailed Duck,Clangula hyemalis,LTDU,XXXX,0,LTDU,1,XXXX,0,XXXX,0,XXXX,0
LTDUF3,Long-tailed Duck,Clangula hyemalis,LTDU,XXXX,0,LTDU,1,XXXX,0,XXXX,0,XXXX,0
LTDU4,Long-tailed Duck,Clangula hyemalis,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
LTDUF4,Long-tailed Duck,Clangula hyemalis,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
LTDU5,Long-tailed Duck,Clangula hyemalis,LTDU,XXXX,0,LTDU,1,XXXX,0,XXXX,0,XXXX,0
LTDUF5,Long-tailed Duck,Clangula hyemalis,LTDU,XXXX,0,LTDU,1,XXXX,0,XXXX,0,XXXX,0
OLDS,Long-tailed Duck,Clangula hyemalis,LTDU,LTDU,1,XXXX,0,LTDU,0,LTDU,1,LTDU,1
OLSQ,Long-tailed Duck,Clangula hyemalis,LTDU,LTDU,1,XXXX,0,LTDU,0,LTDU,1,LTDU,1
MALL,Mallard,Anas platyrhynchos,MALL,MALL,1,MALL,0,MALL,0,MALL,1,MALL,1
BEAR,Bear,Ursus spp..,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
